Country,Admin 1,Admin 2,Market Name,Commodity,Price Type,Price Date,Collection Frequency,Price,Unit,Currency,Data Source,Trend,Pewi,ALPS Phase,Data Type,Upper (95%) CI,Lower (95%) CI,Forecast Methodology
Kenya,Coast,Mombasa,Bangladesh (Mombasa),"Milk (cow, fresh)",Retail,15-04-21,Weekly,80,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),"Milk (cow, fresh)",Retail,15-08-21,Weekly,100,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-01-21,Weekly,180,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-03-21,Weekly,200,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-04-21,Weekly,199.204545,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-08-21,Weekly,207.777766,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-09-21,Weekly,220,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-10-21,Weekly,220,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Oil (vegetable),Retail,15-11-21,Weekly,246.6666,L,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-01-21,Weekly,80,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-03-21,Weekly,83.833309,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-04-21,Weekly,93.27273,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-08-21,Weekly,105.555533,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-09-21,Weekly,95,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-10-21,Weekly,97.5,KG,KES,WFP,,,,Aggregated,,,
Kenya,Coast,Mombasa,Bangladesh (Mombasa),Rice,Retail,15-11-21,Weekly,100,KG,KES,WFP,,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Beans,Retail,15-03-24,Monthly,227,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Beans,Retail,15-03-25,Monthly,187,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Beans,Retail,15-06-25,Monthly,190,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Kale,Retail,15-03-24,Monthly,90,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Kale,Retail,15-06-25,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,"Maize (white, dry)",Retail,15-03-25,Monthly,150,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,"Maize (white, dry)",Retail,15-06-25,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Maize flour (white),Retail,15-03-24,Monthly,105,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Maize flour (white),Retail,15-03-25,Monthly,135,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,Maize flour (white),Retail,15-06-25,Monthly,108,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,15-03-24,Monthly,250,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,15-03-25,Monthly,200,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,North Eastern,Mandera,Banissa,"Oil (vegetable, fortified)",Retail,15-06-25,Monthly,317,L,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Beans,Retail,15-12-23,Monthly,140,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Beans,Retail,15-03-24,Monthly,100,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Beans,Retail,15-06-24,Monthly,112,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Beans,Retail,15-09-24,Monthly,91,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Kale,Retail,15-06-24,Monthly,64,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Kale,Retail,15-09-24,Monthly,50,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,Kale,Retail,15-12-24,Monthly,48,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,15-12-23,Monthly,73,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,15-03-24,Monthly,50,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,15-06-24,Monthly,69,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
Kenya,Rift Valley,Samburu,Baragoi,"Maize (white, dry)",Retail,15-09-24,Monthly,45,KG,KES,Joint Market Monitoring Initiative (JMMI),,,,Aggregated,,,
