admin_1,admin_2,market_name,commodity,price_type,price_date,price,unit,year_month
Eastern,Isiolo,Benane,"Maize (white, dry)",Retail,2024-09-15,110.0,KG,2024-09
Eastern,Isiolo,Benane,Maize flour (white),Retail,2023-12-15,120.0,KG,2023-12
Eastern,Isiolo,Benane,Maize flour (white),Retail,2024-03-15,103.0,KG,2024-03
Eastern,Isiolo,Benane,Maize flour (white),Retail,2024-06-15,117.0,KG,2024-06
Eastern,Isiolo,Benane,Maize flour (white),Retail,2024-09-15,87.0,KG,2024-09
Eastern,Isiolo,Benane,Maize flour (white),Retail,2024-12-15,85.0,KG,2024-12
Eastern,Isiolo,Benane,"Oil (vegetable, fortified)",Retail,2023-12-15,333.0,L,2023-12
Eastern,Isiolo,Benane,"Oil (vegetable, fortified)",Retail,2024-03-15,320.0,L,2024-03
Eastern,Isiolo,Benane,"Oil (vegetable, fortified)",Retail,2024-06-15,287.0,L,2024-06
Eastern,Isiolo,Benane,"Oil (vegetable, fortified)",Retail,2024-09-15,287.0,L,2024-09
Eastern,Isiolo,Benane,"Oil (vegetable, fortified)",Retail,2024-12-15,347.0,L,2024-12
Coast,Tana River,Bilbil,Beans,Retail,2024-03-15,169.0,KG,2024-03
Coast,Tana River,Bilbil,Beans,Retail,2024-06-15,196.0,KG,2024-06
Coast,Tana River,Bilbil,Beans,Retail,2024-09-15,157.0,KG,2024-09
Coast,Tana River,Bilbil,Maize flour (white),Retail,2024-03-15,84.0,KG,2024-03
Coast,Tana River,Bilbil,Maize flour (white),Retail,2024-06-15,71.0,KG,2024-06
Coast,Tana River,Bilbil,Maize flour (white),Retail,2024-09-15,71.0,KG,2024-09
Coast,Tana River,Bilbil,Maize flour (white),Retail,2024-12-15,78.0,KG,2024-12
Coast,Tana River,Bilbil,"Oil (vegetable, fortified)",Retail,2024-03-15,287.0,L,2024-03
Coast,Tana River,Bilbil,"Oil (vegetable, fortified)",Retail,2024-06-15,266.0,L,2024-06
Coast,Tana River,Bilbil,"Oil (vegetable, fortified)",Retail,2024-09-15,272.0,L,2024-09
Coast,Tana River,Bilbil,"Oil (vegetable, fortified)",Retail,2024-12-15,293.0,L,2024-12
Eastern,Isiolo,Biliqo,Beans,Retail,2023-12-15,200.0,KG,2023-12
Eastern,Isiolo,Biliqo,Beans,Retail,2024-03-15,200.0,KG,2024-03
Eastern,Isiolo,Biliqo,Beans,Retail,2024-06-15,120.0,KG,2024-06
Eastern,Isiolo,Biliqo,Beans,Retail,2024-09-15,130.0,KG,2024-09
Eastern,Isiolo,Biliqo,Kale,Retail,2023-12-15,80.0,KG,2023-12
Eastern,Isiolo,Biliqo,Kale,Retail,2024-03-15,70.0,KG,2024-03
Eastern,Isiolo,Biliqo,Kale,Retail,2024-09-15,80.0,KG,2024-09
Eastern,Isiolo,Biliqo,"Maize (white, dry)",Retail,2024-03-15,100.0,KG,2024-03
Eastern,Isiolo,Biliqo,"Maize (white, dry)",Retail,2024-06-15,120.0,KG,2024-06
Eastern,Isiolo,Biliqo,"Maize (white, dry)",Retail,2024-09-15,70.0,KG,2024-09
Eastern,Isiolo,Biliqo,Maize flour (white),Retail,2023-12-15,108.0,KG,2023-12
Eastern,Isiolo,Biliqo,Maize flour (white),Retail,2024-03-15,100.0,KG,2024-03
Eastern,Isiolo,Biliqo,Maize flour (white),Retail,2024-06-15,94.0,KG,2024-06
Eastern,Isiolo,Biliqo,Maize flour (white),Retail,2024-09-15,100.0,KG,2024-09
Eastern,Isiolo,Biliqo,"Oil (vegetable, fortified)",Retail,2023-12-15,288.0,L,2023-12
Eastern,Isiolo,Biliqo,"Oil (vegetable, fortified)",Retail,2024-03-15,280.0,L,2024-03
Eastern,Isiolo,Biliqo,"Oil (vegetable, fortified)",Retail,2024-06-15,242.0,L,2024-06
Eastern,Isiolo,Biliqo,"Oil (vegetable, fortified)",Retail,2024-09-15,267.0,L,2024-09
Eastern,Isiolo,Boji,Beans,Retail,2023-12-15,187.0,KG,2023-12
Eastern,Isiolo,Boji,Beans,Retail,2024-03-15,200.0,KG,2024-03
Eastern,Isiolo,Boji,Beans,Retail,2024-06-15,170.0,KG,2024-06
Eastern,Isiolo,Boji,Beans,Retail,2024-09-15,170.0,KG,2024-09
Eastern,Isiolo,Boji,"Maize (white, dry)",Retail,2024-09-15,80.0,KG,2024-09
Eastern,Isiolo,Boji,Maize flour (white),Retail,2023-12-15,115.0,KG,2023-12
Eastern,Isiolo,Boji,Maize flour (white),Retail,2024-03-15,100.0,KG,2024-03
Eastern,Isiolo,Boji,Maize flour (white),Retail,2024-06-15,90.0,KG,2024-06
Eastern,Isiolo,Boji,Maize flour (white),Retail,2024-09-15,88.0,KG,2024-09
Eastern,Isiolo,Boji,Maize flour (white),Retail,2024-12-15,92.0,KG,2024-12
Eastern,Isiolo,Boji,"Oil (vegetable, fortified)",Retail,2023-12-15,285.0,L,2023-12
Eastern,Isiolo,Boji,"Oil (vegetable, fortified)",Retail,2024-03-15,280.0,L,2024-03
Eastern,Isiolo,Boji,"Oil (vegetable, fortified)",Retail,2024-06-15,280.0,L,2024-06
Eastern,Isiolo,Boji,"Oil (vegetable, fortified)",Retail,2024-09-15,280.0,L,2024-09
Eastern,Isiolo,Boji,"Oil (vegetable, fortified)",Retail,2024-12-15,320.0,L,2024-12
Coast,Tana River,Boka,Beans,Retail,2023-12-15,207.0,KG,2023-12
Coast,Tana River,Boka,Beans,Retail,2024-03-15,176.0,KG,2024-03
Coast,Tana River,Boka,Beans,Retail,2024-06-15,170.0,KG,2024-06
Coast,Tana River,Boka,Beans,Retail,2024-09-15,164.0,KG,2024-09
Coast,Tana River,Boka,Kale,Retail,2024-03-15,140.0,KG,2024-03
Coast,Tana River,Boka,"Maize (white, dry)",Retail,2024-03-15,107.0,KG,2024-03
Coast,Tana River,Boka,"Maize (white, dry)",Retail,2024-06-15,75.0,KG,2024-06
Coast,Tana River,Boka,"Maize (white, dry)",Retail,2024-09-15,80.0,KG,2024-09
Coast,Tana River,Boka,Maize flour (white),Retail,2023-12-15,116.0,KG,2023-12
Coast,Tana River,Boka,Maize flour (white),Retail,2024-03-15,103.0,KG,2024-03
Coast,Tana River,Boka,Maize flour (white),Retail,2024-06-15,83.0,KG,2024-06
Coast,Tana River,Boka,Maize flour (white),Retail,2024-09-15,76.0,KG,2024-09
Coast,Tana River,Boka,Maize flour (white),Retail,2024-12-15,86.5,KG,2024-12
Coast,Tana River,Boka,"Oil (vegetable, fortified)",Retail,2023-12-15,342.0,L,2023-12
Coast,Tana River,Boka,"Oil (vegetable, fortified)",Retail,2024-03-15,317.0,L,2024-03
Coast,Tana River,Boka,"Oil (vegetable, fortified)",Retail,2024-06-15,308.0,L,2024-06
Coast,Tana River,Boka,"Oil (vegetable, fortified)",Retail,2024-09-15,306.0,L,2024-09
Coast,Tana River,Boka,"Oil (vegetable, fortified)",Retail,2024-12-15,340.0,L,2024-12
Eastern,Isiolo,Bulesa Bulesa,Beans,Retail,2023-12-15,183.0,KG,2023-12
Eastern,Isiolo,Bulesa Bulesa,Beans,Retail,2024-03-15,147.0,KG,2024-03
Eastern,Isiolo,Bulesa Bulesa,Beans,Retail,2024-06-15,144.0,KG,2024-06
Eastern,Isiolo,Bulesa Bulesa,Beans,Retail,2024-09-15,140.0,KG,2024-09
Eastern,Isiolo,Bulesa Bulesa,Kale,Retail,2023-12-15,120.0,KG,2023-12
Eastern,Isiolo,Bulesa Bulesa,Kale,Retail,2024-09-15,53.0,KG,2024-09
Eastern,Isiolo,Bulesa Bulesa,"Maize (white, dry)",Retail,2023-12-15,110.0,KG,2023-12
Eastern,Isiolo,Bulesa Bulesa,"Maize (white, dry)",Retail,2024-09-15,105.0,KG,2024-09
Eastern,Isiolo,Bulesa Bulesa,Maize flour (white),Retail,2023-12-15,115.0,KG,2023-12
Eastern,Isiolo,Bulesa Bulesa,Maize flour (white),Retail,2024-03-15,96.0,KG,2024-03
Eastern,Isiolo,Bulesa Bulesa,Maize flour (white),Retail,2024-06-15,100.0,KG,2024-06
Eastern,Isiolo,Bulesa Bulesa,Maize flour (white),Retail,2024-09-15,91.0,KG,2024-09
Eastern,Isiolo,Bulesa Bulesa,Maize flour (white),Retail,2024-12-15,101.5,KG,2024-12
Eastern,Isiolo,Bulesa Bulesa,"Oil (vegetable, fortified)",Retail,2023-12-15,300.0,L,2023-12
Eastern,Isiolo,Bulesa Bulesa,"Oil (vegetable, fortified)",Retail,2024-03-15,284.0,L,2024-03
Eastern,Isiolo,Bulesa Bulesa,"Oil (vegetable, fortified)",Retail,2024-06-15,290.0,L,2024-06
